"サービスID","データID","取得日","飲食購入金額","コメント"
"0000226020","cli_t-30","2019-06-13 08:20:45","200",""
"0000921616","cli_t-30","2019-12-03 13:24:50","900",""
"0000828185","cli_t-30","2019-10-17 00:08:11","400",""
"0000314203","cli_t-30","2019-12-04 16:51:23","800",""
"0000789182","cli_t-30","2019-07-30 06:25:46","500",""
"0000507501","cli_t-30","2019-11-06 18:18:00","650",""
"0000148287","cli_t-30","2019-05-16 04:57:59","100",""
"0000908048","cli_t-30","2019-08-27 05:42:03","800",""
"0000201136","cli_t-30","2019-12-16 23:34:03","300",""
"0000735932","cli_t-30","2019-04-29 21:41:56","400",""
"0000323707","cli_t-30","2019-05-11 00:23:18","850",""
"0000508562","cli_t-30","2019-05-13 08:54:23","550",""
"0000874969","cli_t-30","2019-09-13 09:13:29","250",""
"0000857699","cli_t-30","2019-02-20 19:58:23","750",""
"0000186511","cli_t-30","2019-12-29 09:48:12","150",""
"0000340300","cli_t-30","2019-06-21 05:00:33","450",""
"0000315692","cli_t-30","2019-01-13 21:25:47","650",""
"0000803215","cli_t-30","2019-06-10 10:35:10","300",""
"0000679755","cli_t-30","2019-08-01 07:26:22","250",""
"0000672418","cli_t-30","2019-03-04 15:53:42","550",""
"0000932226","cli_t-30","2019-12-09 17:13:05","100",""
"0000371655","cli_t-30","2019-06-07 13:14:39","250",""
"0000961754","cli_t-30","2019-01-20 19:01:21","450",""
"0000486378","cli_t-30","2019-03-05 09:18:09","750",""
"0000707312","cli_t-30","2019-06-04 01:57:37","850",""
"000031217","cli_t-30","2019-04-09 14:35:51","350",""
"0000492729","cli_t-30","2019-04-23 21:55:21","450",""
"0000859183","cli_t-30","2019-01-22 12:14:49","850",""
"000056149","cli_t-30","2019-05-11 23:02:14","500",""
"0000643001","cli_t-30","2019-01-22 07:32:20","750",""
"0000192240","cli_t-30","2019-03-24 08:34:53","400",""
"0000119564","cli_t-30","2019-05-31 02:30:26","150",""
"0000581158","cli_t-30","2019-07-14 09:44:50","200",""
"0000624341","cli_t-30","2019-09-19 06:43:26","350",""
"0000768138","cli_t-30","2019-05-22 22:32:00","300",""
"0000525609","cli_t-30","2019-09-18 20:23:13","750",""
"0000481037","cli_t-30","2019-03-20 02:54:46","750",""
"0000665982","cli_t-30","2019-09-06 05:30:27","100",""
"0000971657","cli_t-30","2019-04-08 16:49:44","700",""
"0000115355","cli_t-30","2019-09-20 13:37:58","850",""
"0000597308","cli_t-30","2019-06-14 03:19:35","700",""
"000079922","cli_t-30","2019-10-25 08:21:17","800",""
"0000877067","cli_t-30","2019-09-09 02:20:11","600",""
"0000238202","cli_t-30","2019-06-17 19:48:08","350",""
"0000722410","cli_t-30","2019-01-25 11:45:33","550",""
"0000931069","cli_t-30","2019-09-15 20:31:53","550",""
"0000102111","cli_t-30","2019-03-25 22:09:45","200",""
"0000735400","cli_t-30","2019-05-07 08:57:21","250",""
"0000119815","cli_t-30","2019-03-11 22:09:07","150",""
"0000654061","cli_t-30","2019-06-22 03:53:47","100",""
"0000643143","cli_t-30","2019-05-07 06:04:35","100",""
"0000211234","cli_t-30","2019-10-15 21:10:07","550",""
"0000352239","cli_t-30","2019-01-16 03:21:00","650",""
"0000155039","cli_t-30","2019-07-18 12:39:29","200",""
"0000523154","cli_t-30","2019-11-10 03:59:55","400",""
"000090006","cli_t-30","2019-08-17 11:43:04","300",""
"0000402120","cli_t-30","2019-08-05 11:18:30","100",""
"0000273636","cli_t-30","2019-06-23 06:17:49","300",""
"0000738919","cli_t-30","2019-09-18 16:04:47","100",""
"0000127911","cli_t-30","2019-03-18 10:41:48","650",""
"0000716027","cli_t-30","2019-09-27 01:29:17","800",""
"0000976","cli_t-30","2019-08-18 19:38:35","650",""
"0000994219","cli_t-30","2019-10-07 02:37:21","950",""
"0000748853","cli_t-30","2019-05-29 10:12:50","450",""
"0000853847","cli_t-30","2019-06-13 15:55:30","850",""
"0000912966","cli_t-30","2019-10-31 05:35:53","300",""
"0000382390","cli_t-30","2019-09-14 04:54:32","200",""
"0000138717","cli_t-30","2019-11-30 17:36:16","600",""
"0000118486","cli_t-30","2019-07-25 08:04:19","150",""
"0000841904","cli_t-30","2019-05-23 18:06:29","250",""
"0000371625","cli_t-30","2019-02-27 22:34:06","600",""
"0000289935","cli_t-30","2019-03-19 06:36:03","700",""
"0000578722","cli_t-30","2019-10-07 09:56:40","150",""
"0000154638","cli_t-30","2019-09-13 14:49:19","350",""
"0000769668","cli_t-30","2019-06-05 18:17:55","950",""
"0000660385","cli_t-30","2019-03-16 02:37:28","150",""
"0000299309","cli_t-30","2019-06-18 03:50:21","150",""
"0000294241","cli_t-30","2019-07-15 04:16:24","300",""
"0000351906","cli_t-30","2019-03-24 13:05:03","800",""
"0000470858","cli_t-30","2019-02-24 01:01:05","300",""
"0000213571","cli_t-30","2019-04-21 14:00:56","600",""
"0000724285","cli_t-30","2019-06-18 16:49:46","100",""
"0000750155","cli_t-30","2019-05-25 04:07:27","550",""
"0000524343","cli_t-30","2019-08-31 21:38:06","150",""
"0000383477","cli_t-30","2019-04-29 12:42:13","950",""
"0000976752","cli_t-30","2019-05-07 05:19:23","150",""
"0000651957","cli_t-30","2019-06-23 04:02:51","650",""
"0000240053","cli_t-30","2019-10-04 17:04:02","350",""
"0000944226","cli_t-30","2019-09-20 14:24:49","950",""
"0000490146","cli_t-30","2019-09-16 18:14:21","700",""
"0000150391","cli_t-30","2019-08-23 07:48:53","600",""
"000071089","cli_t-30","2019-07-29 16:10:20","550",""
"0000927285","cli_t-30","2019-07-28 12:51:17","350",""
"0000705603","cli_t-30","2019-11-18 15:04:49","350",""
"0000553116","cli_t-30","2019-08-03 23:48:07","400",""
"0000872910","cli_t-30","2019-04-22 19:27:36","600",""
"0000414382","cli_t-30","2019-01-08 20:26:39","700",""
"0000346431","cli_t-30","2019-03-15 15:29:33","200",""
"0000424810","cli_t-30","2019-07-10 07:00:33","350",""
"0000797595","cli_t-30","2019-12-27 23:19:48","750",""
"0000987455","cli_t-30","2019-08-25 08:46:47","850",""
"0000324063","cli_t-30","2019-04-02 15:44:00","350",""
"0000695860","cli_t-30","2019-08-20 13:03:48","450",""
"0000792703","cli_t-30","2019-03-12 00:17:43","150",""
"0000202931","cli_t-30","2019-02-13 19:28:54","500",""
"0000384690","cli_t-30","2019-01-19 19:14:18","500",""
"0000325104","cli_t-30","2019-01-31 02:29:06","600",""
"0000979474","cli_t-30","2019-06-29 21:59:24","850",""
"0000949569","cli_t-30","2019-06-17 16:08:06","850",""
"000063538","cli_t-30","2019-05-08 15:30:18","750",""
"0000536637","cli_t-30","2019-08-31 04:03:05","150",""
"0000533190","cli_t-30","2019-07-05 01:39:51","900",""
"0000442366","cli_t-30","2019-09-12 16:48:56","150",""
"0000429890","cli_t-30","2019-09-11 23:08:43","750",""
"0000924067","cli_t-30","2019-03-27 18:46:31","150",""
"0000535506","cli_t-30","2019-08-10 02:49:56","900",""
"0000555949","cli_t-30","2019-12-26 13:58:09","750",""
"0000462628","cli_t-30","2019-10-04 13:51:34","550",""
"000067976","cli_t-30","2019-01-19 17:16:43","850",""
"0000773506","cli_t-30","2019-12-04 18:25:05","400",""
"0000883038","cli_t-30","2019-09-17 11:06:10","450",""
"0000602473","cli_t-30","2019-06-08 16:45:18","650",""
"000027966","cli_t-30","2019-02-23 05:05:19","950",""
"000069054","cli_t-30","2019-04-09 14:19:37","700",""
"0000842270","cli_t-30","2019-08-03 15:02:42","900",""
"0000827517","cli_t-30","2019-09-03 17:35:11","350",""
"0000186415","cli_t-30","2019-02-09 19:33:59","800",""
"0000474670","cli_t-30","2019-05-29 15:55:18","400",""
"0000633520","cli_t-30","2019-03-04 16:25:30","400",""
"0000183405","cli_t-30","2019-07-19 18:22:21","400",""
"000084617","cli_t-30","2019-07-15 21:03:32","300",""
"0000238922","cli_t-30","2019-12-16 02:42:16","650",""
"0000393177","cli_t-30","2019-09-29 13:40:53","750",""
"0000744772","cli_t-30","2019-01-20 10:20:21","400",""
"000077869","cli_t-30","2019-10-27 10:32:17","300",""
"0000475874","cli_t-30","2019-06-08 20:28:40","800",""
"0000394667","cli_t-30","2019-02-06 07:01:14","300",""
"0000328426","cli_t-30","2019-04-26 10:57:40","100",""
"0000193661","cli_t-30","2019-11-09 15:47:48","100",""
"0000338766","cli_t-30","2019-04-17 13:36:54","800",""
"0000769655","cli_t-30","2019-03-31 16:56:31","600",""
"0000173893","cli_t-30","2019-05-18 03:09:10","150",""
"0000321717","cli_t-30","2019-09-28 10:28:41","400",""
"0000694939","cli_t-30","2019-10-12 08:53:16","150",""
"0000447426","cli_t-30","2019-10-06 22:56:48","500",""
"0000108800","cli_t-30","2019-06-14 10:04:52","900",""
"0000782179","cli_t-30","2019-06-29 18:12:42","500",""
"0000179378","cli_t-30","2019-03-30 01:50:10","600",""
"0000718721","cli_t-30","2019-01-28 22:48:24","400",""
"0000458818","cli_t-30","2019-09-11 00:52:08","850",""
"0000425573","cli_t-30","2019-05-19 01:59:13","200",""
"0000576629","cli_t-30","2019-12-24 19:03:29","600",""
"0000582754","cli_t-30","2019-08-08 05:05:30","450",""
"000054024","cli_t-30","2019-09-22 05:15:30","550",""
"0000323439","cli_t-30","2019-06-21 07:18:09","750",""
"0000895853","cli_t-30","2019-04-08 01:28:51","850",""
"0000846308","cli_t-30","2019-07-05 09:34:40","400",""
"0000156466","cli_t-30","2019-11-09 23:06:14","300",""
"0000947988","cli_t-30","2019-08-22 13:24:17","100",""
"0000846531","cli_t-30","2019-01-17 19:29:59","300",""
"0000891349","cli_t-30","2019-05-28 10:08:34","100",""
"000072949","cli_t-30","2019-11-05 18:38:35","800",""
"0000606524","cli_t-30","2019-05-07 01:23:38","200",""
"0000488462","cli_t-30","2019-12-28 22:35:05","850",""
"0000706240","cli_t-30","2019-02-24 04:04:01","350",""
"000022924","cli_t-30","2019-02-08 07:26:46","100",""
"0000323027","cli_t-30","2019-02-26 15:49:07","850",""
"0000187229","cli_t-30","2019-01-24 00:22:31","900",""
"0000344445","cli_t-30","2019-09-21 23:54:34","150",""
"000072248","cli_t-30","2019-11-09 08:29:22","500",""
"0000475835","cli_t-30","2019-03-21 08:04:04","250",""
"0000376876","cli_t-30","2019-04-13 05:38:29","750",""
"0000558596","cli_t-30","2019-12-09 02:33:39","450",""
"0000911926","cli_t-30","2019-05-23 19:05:54","950",""
"0000170389","cli_t-30","2019-07-08 06:32:28","650",""
"0000751007","cli_t-30","2019-09-26 10:37:50","150",""
"000081980","cli_t-30","2019-07-23 02:59:30","200",""
"0000519408","cli_t-30","2019-07-30 20:08:02","700",""
"0000805315","cli_t-30","2019-01-18 11:21:27","850",""
"0000775180","cli_t-30","2019-10-02 09:40:41","550",""
"0000464877","cli_t-30","2019-05-22 00:34:20","850",""
"0000896373","cli_t-30","2019-03-03 16:13:42","500",""
"0000206449","cli_t-30","2019-10-19 01:07:41","600",""
"0000553362","cli_t-30","2019-01-12 13:02:45","200",""
"0000712947","cli_t-30","2019-09-20 02:10:56","200",""
"0000983676","cli_t-30","2019-12-01 06:17:24","500",""
"0000142000","cli_t-30","2019-09-29 16:37:43","250",""
"0000197145","cli_t-30","2019-03-08 19:17:47","100",""
"0000253","cli_t-30","2019-07-01 02:01:07","450",""
"0000283746","cli_t-30","2019-06-19 15:20:16","850",""
"0000282774","cli_t-30","2019-11-18 04:58:01","350",""
"0000634576","cli_t-30","2019-05-31 13:49:34","400",""
"0000971799","cli_t-30","2019-07-16 14:44:11","500",""
"0000903554","cli_t-30","2019-01-16 01:02:57","850",""
"0000753930","cli_t-30","2019-09-12 19:10:02","450",""
"0000127851","cli_t-30","2019-04-13 18:13:00","500",""
"0000251698","cli_t-30","2019-03-10 09:49:04","250",""
"0000635876","cli_t-30","2019-06-22 17:41:22","150",""
"0000552435","cli_t-30","2019-06-02 03:49:37","750",""
"0000918563","cli_t-30","2019-06-02 16:14:58","650",""
"0000977478","cli_t-30","2019-09-28 16:04:51","100",""
"0000325924","cli_t-30","2019-09-18 10:27:32","200",""
"0000146287","cli_t-30","2019-09-09 21:07:04","500",""
"0000141368","cli_t-30","2019-10-10 22:24:01","450",""
"0000210463","cli_t-30","2019-03-06 12:03:27","500",""
"0000519333","cli_t-30","2019-01-13 08:45:12","550",""
"0000547777","cli_t-30","2019-07-02 08:19:11","900",""
"0000998597","cli_t-30","2019-07-05 19:30:41","400",""
"0000755704","cli_t-30","2019-08-28 05:37:00","500",""
"0000295797","cli_t-30","2019-05-07 19:17:01","400",""
"0000608900","cli_t-30","2019-05-27 00:38:28","950",""
"000072973","cli_t-30","2019-11-08 11:14:17","150",""
"000027375","cli_t-30","2019-08-08 02:47:11","700",""
"000013066","cli_t-30","2019-09-03 05:43:44","850",""
"0000228195","cli_t-30","2019-05-11 04:58:02","700",""
"0000323131","cli_t-30","2019-06-11 17:51:56","450",""
"0000954334","cli_t-30","2019-02-12 06:46:14","250",""
"0000327843","cli_t-30","2019-07-07 00:38:00","300",""
"000087704","cli_t-30","2019-12-03 07:22:52","150",""
"0000754317","cli_t-30","2019-05-01 02:32:02","200",""
"0000811860","cli_t-30","2019-11-13 08:43:30","550",""
"0000527690","cli_t-30","2019-02-16 11:21:15","650",""
"0000666542","cli_t-30","2019-08-15 21:11:23","550",""
"0000867875","cli_t-30","2019-08-19 13:14:55","650",""
"0000357025","cli_t-30","2019-09-12 18:13:33","350",""
"0000208294","cli_t-30","2019-12-29 09:47:18","400",""
"000086736","cli_t-30","2019-01-04 03:29:57","400",""
"0000861812","cli_t-30","2019-02-13 20:00:54","350",""
"0000498597","cli_t-30","2019-06-30 10:49:45","250",""
"0000848027","cli_t-30","2019-06-24 20:36:39","300",""
"0000317650","cli_t-30","2019-01-08 07:35:14","350",""
"0000652287","cli_t-30","2019-03-19 11:28:24","950",""
"0000580973","cli_t-30","2019-03-06 04:32:51","100",""
"0000531396","cli_t-30","2019-08-20 18:52:58","900",""
"0000264002","cli_t-30","2019-12-11 14:38:34","300",""
"0000902236","cli_t-30","2019-11-25 13:23:15","150",""
"0000893064","cli_t-30","2019-12-09 10:49:43","600",""
"0000525682","cli_t-30","2019-05-09 10:50:51","400",""
"0000453758","cli_t-30","2019-07-04 12:12:34","250",""
"0000617019","cli_t-30","2019-10-16 11:47:47","150",""
"0000679031","cli_t-30","2019-04-14 15:46:39","800",""
"0000132360","cli_t-30","2019-07-12 11:15:30","300",""
"0000284341","cli_t-30","2019-04-22 21:19:50","600",""
"0000799194","cli_t-30","2019-01-07 08:08:47","700",""
"0000847474","cli_t-30","2019-09-06 05:22:41","550",""
"0000960856","cli_t-30","2019-10-15 23:07:15","300",""
"0000708954","cli_t-30","2019-03-19 06:56:19","100",""
"0000761693","cli_t-30","2019-02-10 23:43:32","450",""
"0000774866","cli_t-30","2019-03-26 23:25:39","600",""
"0000822382","cli_t-30","2019-04-29 09:42:30","500",""
"000051407","cli_t-30","2019-12-17 11:45:50","850",""
"0000304731","cli_t-30","2019-12-28 08:08:42","600",""
"0000449654","cli_t-30","2019-01-16 13:53:59","950",""
"0000844226","cli_t-30","2019-10-06 06:35:09","650",""
"000088708","cli_t-30","2019-09-20 19:47:58","350",""
"0000202997","cli_t-30","2019-01-29 15:51:19","200",""
"0000879017","cli_t-30","2019-07-17 22:48:15","700",""
"0000756756","cli_t-30","2019-09-18 22:19:48","550",""
"0000738447","cli_t-30","2019-02-02 19:34:02","200",""
"0000385795","cli_t-30","2019-04-09 13:49:08","900",""
"0000319818","cli_t-30","2019-07-10 11:30:32","400",""
"0000725598","cli_t-30","2019-06-09 02:37:24","900",""
"0000473225","cli_t-30","2019-07-13 22:04:07","250",""
"0000224358","cli_t-30","2019-11-23 10:31:03","850",""
"000044343","cli_t-30","2019-02-12 23:14:13","400",""
"0000700988","cli_t-30","2019-05-08 09:47:44","300",""
"0000281187","cli_t-30","2019-02-04 16:55:02","550",""
"0000208999","cli_t-30","2019-12-29 01:22:44","850",""
"0000725935","cli_t-30","2019-08-20 19:04:30","300",""
"000094699","cli_t-30","2019-08-14 16:37:12","350",""
"0000284681","cli_t-30","2019-09-28 07:30:43","850",""
"0000433146","cli_t-30","2019-04-13 07:42:46","500",""
"0000922076","cli_t-30","2019-08-29 09:59:47","800",""
"0000925097","cli_t-30","2019-09-23 02:14:32","350",""
"000012428","cli_t-30","2019-08-24 22:46:42","150",""
"0000474239","cli_t-30","2019-12-10 16:57:32","200",""
"0000270308","cli_t-30","2019-07-05 12:24:03","200",""
"0000827443","cli_t-30","2019-01-24 18:07:59","100",""
"0000118310","cli_t-30","2019-04-17 05:56:42","700",""
"000098090","cli_t-30","2019-12-16 06:33:54","550",""
"0000935216","cli_t-30","2019-10-30 02:59:24","800",""
"0000361766","cli_t-30","2019-11-16 07:18:14","900",""
"0000728113","cli_t-30","2019-04-09 13:51:25","800",""
"000034530","cli_t-30","2019-12-22 11:38:40","850",""
"0000200375","cli_t-30","2019-09-29 06:37:16","350",""
"0000981048","cli_t-30","2019-07-06 14:08:43","350",""
"0000835556","cli_t-30","2019-04-28 06:09:24","700",""
"0000181997","cli_t-30","2019-12-11 04:44:33","950",""
"0000700065","cli_t-30","2019-10-02 14:18:17","100",""
"0000217302","cli_t-30","2019-10-23 10:48:33","350",""
"0000465311","cli_t-30","2019-03-04 07:20:16","300",""
"0000267107","cli_t-30","2019-07-24 22:13:20","700",""
"0000896086","cli_t-30","2019-04-22 18:32:50","900",""
"0000593902","cli_t-30","2019-08-24 16:19:16","450",""
"0000548553","cli_t-30","2019-06-20 15:42:29","550",""
"0000913774","cli_t-30","2019-04-21 09:34:35","300",""
"0000257818","cli_t-30","2019-10-13 07:08:08","450",""
"0000726498","cli_t-30","2019-02-02 04:00:36","950",""
"0000453721","cli_t-30","2019-04-06 09:48:09","800",""
"000046514","cli_t-30","2019-04-10 09:57:17","400",""
"0000216135","cli_t-30","2019-06-04 19:51:04","250",""
"000071555","cli_t-30","2019-05-20 02:05:16","250",""
"0000680160","cli_t-30","2019-02-26 10:21:57","450",""
"0000586725","cli_t-30","2019-05-17 14:46:09","250",""
"0000373441","cli_t-30","2019-08-12 04:09:09","500",""
"0000326986","cli_t-30","2019-12-23 17:41:20","800",""
"0000605001","cli_t-30","2019-07-23 05:12:33","350",""
"0000757720","cli_t-30","2019-04-21 07:58:30","700",""
"0000427231","cli_t-30","2019-10-11 21:55:40","400",""
"0000500828","cli_t-30","2019-02-13 05:50:12","800",""
"0000956422","cli_t-30","2019-03-15 12:45:53","800",""
"0000684189","cli_t-30","2019-09-11 20:52:06","500",""
"0000979358","cli_t-30","2019-02-25 08:45:27","800",""
"0000658659","cli_t-30","2019-01-20 22:35:19","250",""
"0000233038","cli_t-30","2019-05-23 14:44:58","450",""
"0000627564","cli_t-30","2019-05-24 19:35:11","900",""
"0000454147","cli_t-30","2019-06-19 02:38:39","700",""
"000074262","cli_t-30","2019-11-26 17:04:56","200",""
"0000286981","cli_t-30","2019-04-28 12:08:19","600",""
"0000790849","cli_t-30","2019-01-27 10:53:19","650",""
"0000278292","cli_t-30","2019-10-09 00:02:34","300",""
"000062915","cli_t-30","2019-03-14 10:15:48","550",""
"000081083","cli_t-30","2019-02-20 09:14:29","100",""
"000098068","cli_t-30","2019-09-29 16:12:43","600",""
"0000633493","cli_t-30","2019-06-26 17:58:00","300",""
"0000823434","cli_t-30","2019-08-24 00:01:41","800",""
"0000420119","cli_t-30","2019-04-26 00:48:20","250",""
"0000133645","cli_t-30","2019-07-12 00:58:19","400",""
"0000552944","cli_t-30","2019-10-21 17:38:33","650",""
"0000102347","cli_t-30","2019-05-13 16:10:47","850",""
"0000407149","cli_t-30","2019-05-24 21:17:54","700",""
"0000606557","cli_t-30","2019-10-02 21:03:55","750",""
"000079697","cli_t-30","2019-10-18 21:49:29","600",""
"0000614661","cli_t-30","2019-10-07 07:35:26","700",""
"0000127692","cli_t-30","2019-01-10 06:45:15","100",""
"000038731","cli_t-30","2019-02-14 09:39:05","550",""
"0000113058","cli_t-30","2019-06-10 13:14:37","800",""
"000089556","cli_t-30","2019-07-30 20:28:50","550",""
"0000347048","cli_t-30","2019-10-19 19:30:48","200",""
"0000437916","cli_t-30","2019-09-13 08:35:53","900",""
"0000103266","cli_t-30","2019-02-21 12:19:09","750",""
"0000376938","cli_t-30","2019-01-08 14:26:52","700",""
"0000862028","cli_t-30","2019-05-20 08:42:11","700",""
"0000806126","cli_t-30","2019-11-01 20:11:17","900",""
"0000940336","cli_t-30","2019-05-11 03:46:04","800",""
"0000945420","cli_t-30","2019-01-02 12:03:36","400",""
"0000847637","cli_t-30","2019-12-10 19:08:32","500",""
"000072137","cli_t-30","2019-09-16 11:23:06","350",""
"0000504268","cli_t-30","2019-02-26 11:50:52","600",""
"0000602273","cli_t-30","2019-04-22 04:18:48","950",""
"0000471017","cli_t-30","2019-02-05 20:30:10","400",""
"0000403524","cli_t-30","2019-01-06 02:38:16","350",""
"0000119418","cli_t-30","2019-10-12 02:45:59","300",""
"0000376928","cli_t-30","2019-01-27 06:42:35","200",""
"0000820077","cli_t-30","2019-01-15 10:13:13","250",""
"000063223","cli_t-30","2019-08-04 19:02:57","700",""
"0000466650","cli_t-30","2019-07-25 22:28:32","250",""
"0000487422","cli_t-30","2019-09-09 07:31:20","400",""
"0000855213","cli_t-30","2019-10-26 01:23:43","900",""
"0000107322","cli_t-30","2019-01-23 06:19:47","100",""
"0000415107","cli_t-30","2019-10-14 16:01:41","300",""
"0000863935","cli_t-30","2019-12-29 03:08:09","150",""
"0000804236","cli_t-30","2019-05-01 12:00:11","700",""
"0000729151","cli_t-30","2019-06-02 18:12:16","950",""
"000048174","cli_t-30","2019-05-31 05:10:26","950",""
"000014263","cli_t-30","2019-01-15 19:46:27","650",""
"000066552","cli_t-30","2019-10-24 08:59:02","850",""
"0000922761","cli_t-30","2019-05-31 01:03:39","400",""
"0000113891","cli_t-30","2019-01-09 05:35:27","300",""
"0000332741","cli_t-30","2019-03-04 00:13:28","850",""
"0000852283","cli_t-30","2019-05-25 16:30:56","850",""
"0000576752","cli_t-30","2019-11-29 17:40:08","550",""
"0000876552","cli_t-30","2019-08-03 08:27:51","200",""
"0000509713","cli_t-30","2019-11-26 18:04:24","550",""
"0000134481","cli_t-30","2019-07-07 21:35:03","250",""
"0000682536","cli_t-30","2019-12-12 00:22:40","750",""
"0000630563","cli_t-30","2019-03-10 09:44:35","900",""
"0000833965","cli_t-30","2019-04-13 06:12:15","550",""
"0000321759","cli_t-30","2019-10-23 03:01:47","800",""
"0000367589","cli_t-30","2019-01-08 20:32:37","850",""
"0000647425","cli_t-30","2019-03-11 17:21:10","850",""
"0000753738","cli_t-30","2019-07-31 19:21:45","600",""
"0000518241","cli_t-30","2019-06-20 15:17:13","250",""
"0000654326","cli_t-30","2019-05-11 20:05:36","850",""
"0000942585","cli_t-30","2019-12-10 03:56:55","850",""
"0000101205","cli_t-30","2019-02-10 08:45:54","550",""
"000057459","cli_t-30","2019-10-31 18:59:12","300",""
"0000892205","cli_t-30","2019-04-01 18:23:27","550",""
"0000919671","cli_t-30","2019-06-10 01:58:01","550",""
"0000490249","cli_t-30","2019-07-05 03:06:11","100",""
"000012318","cli_t-30","2019-07-05 20:23:24","350",""
"000015434","cli_t-30","2019-03-06 03:31:51","950",""
"0000581706","cli_t-30","2019-02-02 14:22:20","650",""
"0000596305","cli_t-30","2019-05-17 04:28:10","950",""
"0000625451","cli_t-30","2019-02-08 20:58:42","750",""
"0000874432","cli_t-30","2019-08-15 19:21:36","150",""
"0000918776","cli_t-30","2019-02-28 16:33:44","650",""
"000010315","cli_t-30","2019-05-30 08:27:05","450",""
"0000721103","cli_t-30","2019-04-03 17:22:34","200",""
"0000367313","cli_t-30","2019-06-05 13:03:36","100",""
"0000815067","cli_t-30","2019-03-06 04:11:09","250",""
"0000657772","cli_t-30","2019-01-31 10:55:43","350",""
"0000619742","cli_t-30","2019-06-30 15:15:22","550",""
"0000270550","cli_t-30","2019-05-12 05:34:36","600",""
"0000242900","cli_t-30","2019-02-07 15:42:07","200",""
"000090030","cli_t-30","2019-11-03 04:01:53","600",""
"000070426","cli_t-30","2019-03-08 11:54:56","950",""
"000075717","cli_t-30","2019-03-01 05:49:46","300",""
"0000633099","cli_t-30","2019-11-21 14:50:50","100",""
"0000302773","cli_t-30","2019-04-02 01:05:47","750",""
"0000990411","cli_t-30","2019-07-29 02:35:12","500",""
"0000673374","cli_t-30","2019-08-10 11:43:25","450",""
"0000811612","cli_t-30","2019-07-28 06:45:12","100",""
"0000610141","cli_t-30","2019-01-17 03:48:24","700",""
"0000587051","cli_t-30","2019-12-01 02:39:13","750",""
"000068063","cli_t-30","2019-04-22 08:22:57","600",""
"0000632402","cli_t-30","2019-11-19 07:19:14","750",""
"000013734","cli_t-30","2019-12-10 05:18:22","400",""
"0000844158","cli_t-30","2019-05-25 00:41:12","450",""
"0000627243","cli_t-30","2019-11-02 22:39:12","700",""
"0000694849","cli_t-30","2019-02-25 04:19:20","150",""
"0000425286","cli_t-30","2019-04-15 18:49:54","300",""
"0000670892","cli_t-30","2019-06-30 13:44:10","800",""
"0000244471","cli_t-30","2019-07-23 11:16:27","100",""
"000097008","cli_t-30","2019-11-20 17:30:25","300",""
"0000658002","cli_t-30","2019-01-01 00:11:03","900",""
"0000150441","cli_t-30","2019-07-11 00:49:44","450",""
"0000335278","cli_t-30","2019-10-06 01:38:13","150",""
"000075405","cli_t-30","2019-07-05 17:35:19","450",""
"0000924994","cli_t-30","2019-01-30 21:12:13","300",""
"0000433387","cli_t-30","2019-09-12 14:53:48","700",""
"0000104269","cli_t-30","2019-05-03 02:27:35","450",""
"0000594880","cli_t-30","2019-04-09 16:24:37","550",""
"0000188333","cli_t-30","2019-12-02 18:50:54","550",""
"0000118052","cli_t-30","2019-07-03 23:46:25","550",""
"0000452686","cli_t-30","2019-10-31 07:42:28","750",""
"000069154","cli_t-30","2019-07-18 16:28:41","250",""
"0000796072","cli_t-30","2019-12-11 03:02:52","100",""
"0000771368","cli_t-30","2019-10-08 00:15:54","500",""
"000061163","cli_t-30","2019-12-09 17:53:23","650",""
"0000278027","cli_t-30","2019-05-25 14:05:08","100",""
"0000271245","cli_t-30","2019-09-25 17:16:37","750",""
"0000705172","cli_t-30","2019-03-18 06:28:02","350",""
"0000187527","cli_t-30","2019-09-19 06:35:23","950",""
"0000885036","cli_t-30","2019-05-17 02:37:04","700",""
"0000228239","cli_t-30","2019-08-15 14:30:03","800",""
"0000489940","cli_t-30","2019-01-24 10:52:26","950",""
"0000675275","cli_t-30","2019-06-24 10:11:57","850",""
"0000775508","cli_t-30","2019-06-08 07:36:51","550",""
"0000290737","cli_t-30","2019-11-08 13:34:26","700",""
"0000370066","cli_t-30","2019-10-04 12:26:33","350",""
"0000889935","cli_t-30","2019-04-27 16:47:04","700",""
"0000990731","cli_t-30","2019-11-29 13:25:40","800",""
"0000875192","cli_t-30","2019-12-01 23:02:52","550",""
"000017275","cli_t-30","2019-06-26 00:06:37","600",""
"0000361936","cli_t-30","2019-03-12 10:42:38","450",""
"0000124804","cli_t-30","2019-06-22 01:36:11","900",""
"0000875821","cli_t-30","2019-03-31 23:53:41","600",""
"0000924589","cli_t-30","2019-12-18 10:07:01","750",""
"0000494688","cli_t-30","2019-03-14 00:53:25","700",""
"0000767484","cli_t-30","2019-01-27 22:26:42","350",""
"0000152457","cli_t-30","2019-07-26 04:43:28","200",""
"0000781943","cli_t-30","2019-09-17 18:33:50","100",""
"0000463057","cli_t-30","2019-03-28 12:35:00","450",""
"0000115232","cli_t-30","2019-02-01 15:52:01","850",""
"0000426346","cli_t-30","2019-05-26 10:42:41","700",""
"0000141735","cli_t-30","2019-06-19 13:56:08","500",""
